--------------------------------------------------------
Legend:
--------------------------------------------------------
#           folder number, e.g. #21 for 21_iCub_standing_sim_1.0
seq         iteration number for given fitness function
V1          SUCCESS when testing icubGazeboSim for 6 consecutive steps (simulation), without domain randomization
V2          SUCCESS when testing iCubGazeboV2_5 for 6 consecutive steps (simulation), with noise on input contact forces and velocity measurements + external wrenches applied on chest
fitness [X] indicates that the weights have been taken from the second best optimized solution of experiment X
--------------------------------------------------------

--------------------------------------------------------
  Experiments run from PC in Nancy
--------------------------------------------------------
# Fitness                 |seq | V1 | V2 | weight values
1  TEST robust            | -  | -  | -  | -
2  TEST performance       | -  | -  | -  | -
3  TEST performance       | -  | -  | -  | -
4  Robust                 | 1  | 1  | 0  | [3.14068167739743 2.18029282279953 0 1.0e-10 1.0e-06 1.0e-10]
5  Performance            | 1  | 1  | 0  | [1 1 0 0.01 0.001 0.0001]
6  PerformanceRobust      | 1  | 1  | 1  | [0.521001991358939 3.77297320861414 0 1.0e-10 1.0e-06 1.0e-10]
7  TEST                   | -  | -  | -  | -
8  Robust                 | 2  | 0  | 0  | [0.783507483477041,1.355895767635773,0,0.450017168187603,0.022571624298350,1.000000000000000e-10]
9  Performance            | 2  | 1  | 0  | [0.085860841276666,1.00000000000e-04,2.716956844743496e-04,1.000000000000000e-10,0.741109637502030,1.000000000000000e-10]
10 PerformanceRobust      | 2  | 1  | 1  | [3.693623124143939,2.143065336547741,0,1.000000000000000e-10,1.000000000000000e-06,1.000000000000000e-10]
11 Robust                 | 3  | 1  | 1  | [3.373093431284755,0.165602942824879,0,1.000000000000000e-10,1.000000000000000e-06,1.000000000000000e-10]
12 Performance            | 3  | 0  | 0  | [0.096073388821089,1.912698284869237,0,1.000000000000000e-10,0.313441344904784,1.310520328150254e-04]
13 PerformanceRobust      | 3  | 1  | 1  | [1.00000000000e-04,1.737313922301323,0,3.482983184717527,1.000000000000000e-06,1.000000000000000e-10]
14 Robust                 | 4  | 1  | 0  | [1.218217298698925,2.581396801106736,0,1.000000000000000e-10,1.000000000000000e-06,1.000000000000000e-10]
15 Performance            | 4  | 1  | 0  | [0.172959669568163,0.026566824054914,4.528177129483381e-06,1.000000000000000e-10,0.629751402033678,1.000000000000000e-10]
16 PerformanceRobust      | 4  | 1  | 1  | [0.095174601016771,0.595822496784248,0,1.000000000000000e-10,1.000000000000000e-06,1.000000000000000e-10]
17 Robust                 | 5  | 1  | 0  | [0.182674169760034,3.238099057296076,0,1.000000000000000e-10,1.000000000000000e-06,1.000000000000000e-10]
18 Performance            | 5  | 0  | 0  | [0.220039687173294,3.132252709286332,0,1.000000000000000e-10,0.304988249148493,1.000000000000000e-10]
19 PerformanceRobust      | 5  | 1  | 1  | [0.185889537508686,4.334093373729575,0,1.000000000000000e-10,1.000000000000000e-06,1.000000000000000e-10]
20 PerformanceRobust      | 6  | 1  | 1  | [0.133824305791255,3.235006604923308,0,1.000000000000000e-10,1.000000000000000e-06,1.000000000000000e-10]
21 Robust                 | 6  | 1  | 1  | [0.007073263719892,2.762238194959915,0,1.000000000000000e-10,1.000000000000000e-06,1.000000000000000e-10]
22 Robust                 | 7  | 0  | 0  | [2.654752535781996,0.411031758385036,4.068334069928796e-04,0.185253679993336,0.013837315714967,1.000000000000000e-10]
23 Robust                 | 8  | ?  | ?  | ?
24 PerformanceRobust      | 7  | 1  | 1  | [0.182810386571751,3.245013973433765,0,1.000000000000000e-10,1.000000000000000e-06,1.000000000000000e-10]
25 PerformanceRobust [10] | 8  | 1  | 1  | [3.41302170764698,2.21206854424104,0,1.00000000000000e-10,1.00000000000000e-06,1.00000000000000e-10]
26 PerformanceRobust [13] | 9  | 1  | 1  | [0.494122836939848,1.00918470605245,0,2.12847080937297,1.00000000000000e-06,1.00000000000000e-10]
27 PerformanceRobust [19] | 10 | 1  | 1  | [0.659739599126710,1.98007939550443,0,1.00000000000000e-10,1.00000000000000e-06,1.00000000000000e-10]
28 Robust            [17] | 9  | 1  | 1  | [0.651296944714509,1.87207566460516,0,1.00000000000000e-10,1.00000000000000e-06,1.00000000000000e-10]
29 Robust            [14] | 10 | 1  | 1  | [1.30279534185083,2.41173045210349,0,1.00000000000000e-10,1.00000000000000e-06,1.00000000000000e-10]
30 Robust            [11] | 11 | 0  | 1  | [2.63293860196219,0.743469647545091,0,1.00000000000000e-10,1.00000000000000e-06,1.00000000000000e-10]
31 Performance       [18] | 6  | 0  | 0  | [0.242328531898358,2.70289181612722,0.000192677667603240,1.00000000000000e-10,0.219252071805644,1.00000000000000e-10]
32 Performance       [15] | 7  | 1  | 0  | [0.0511902884848960,0.000100000000000000,0,1.00000000000000e-10,0.683037343424833,1.00000000000000e-10]
